Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 69.958961 99.830643 129.702332
"Baltra-B" 1645 -0.470000 269.700012 65.250648 93.358574 121.466492
"Majuro-A" 1217 7.170000 171.429993 70.725647 100.476517 130.227371
"Malakal-B" 1252 7.450000 134.580002 66.584923 96.809731 127.034531
"Yap-B" 1251 9.580000 138.229996 68.209694 98.706757 129.203827
"Rabaul" 1164 -4.200000 152.250000 64.909515 94.050064 123.190620
"Christmas-B" 801 2.120000 202.479996 67.801903 97.414871 127.027832
"Kanton-B" 575 -2.900000 188.270004 68.370316 97.541550 126.712776
"French Frigate-A" 1372 23.879999 193.669998 69.660339 101.441612 133.222885
"Papeete-B" 1397 -17.600000 210.429993 63.115681 90.778397 118.441116
"Rikitea" 1253 -23.200001 225.020004 58.451694 84.884674 111.317657
"Noumea" 2134 -22.320000 166.419998 69.887794 98.859077 127.830360
"Juan Fernandez-B" 1644 -33.669998 281.049988 51.836926 74.863663 97.890396
"Easter-C" 1272 -27.200001 250.500000 54.974495 79.809364 104.644241
"Penrhyn" 1450 -9.070000 201.919998 66.831993 94.578804 122.325607
"Saipan-B" 1474 15.320000 145.820007 65.358177 98.369637 131.381088
"Kapingamarangi" 1473 1.230000 154.869995 69.313538 98.481567 127.649597
"Santa Cruz" 300 -0.800000 269.570007 65.250648 93.358574 121.466492
"Cabo San Lucas" 1355 23.000000 250.019989 67.520676 96.050529 124.580383
"San Felix" 1751 -26.370001 279.820007 54.981361 78.449059 101.916756
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 52.881123 84.974068 117.067017
"Adak,Alaska" 487 51.980000 183.229996 59.397423 91.173866 122.950317
"Dutch Harbor-B,AK" 390 54.000000 193.429993 59.921192 90.647232 121.373276
"Chichijima" 1391 27.100000 142.179993 66.020645 100.567009 135.113373
"Midway" 523 28.219999 182.630005 71.703735 104.609047 137.514359
"Wake" 595 19.280001 166.619995 66.792664 100.417671 134.042679
"Johnston" 598 16.780001 190.350006 71.000710 103.605309 136.209900
"Apra Harbor, Guam" 540 13.430000 144.649994 66.904396 98.582909 130.261414
"Chuuk" 528 7.450000 151.850006 69.303421 99.356682 129.409943
"Kwajalein" 513 8.730000 167.729996 71.338966 101.382446 131.425934
"Pago Pago" 539 -14.280000 189.320007 65.981049 95.383865 124.786690
"Honolulu-B,Hawaii" 155 21.370001 202.130005 69.418983 100.740135 132.061295
"Nawiliwili" 756 21.969999 200.649994 69.424927 100.944313 132.463699
"Kahului" 521 20.900000 203.529999 70.096550 101.647591 133.198624
"Hilo, Hawaii" 300 19.730000 204.929993 69.501839 101.512383 133.522934
"Mokuoloe" 823 21.430000 202.199997 69.418983 100.740135 132.061295
"Wellington" 221 -41.279999 174.779999 66.271301 91.245911 116.220512
"Tauranga" 1590 -37.650002 176.179993 66.612175 92.485306 118.358444
"Taranaki" 996 -39.049999 174.029999 65.741562 90.212357 114.683151
"Antofagasta" 510 -23.680000 289.549988 54.799534 76.086082 97.372627
"Valparaiso" 499 -33.119999 288.279999 50.701363 70.834175 90.966980
"Acajutla-A" 1302 13.580000 270.169983 63.371883 92.610153 121.848427
"Lobos de Afuera" 1552 -6.930000 279.279999 58.422577 86.308426 114.194275
"Buenaventura" 456 3.950000 282.830017 57.135136 84.318298 111.501457
"Quepos-A" 844 9.400000 275.830017 63.337612 88.915970 114.494324
"La Libertad" 544 -2.200000 279.080017 57.868481 85.564194 113.259911
"Callao-B" 1274 -12.080000 282.830017 56.373196 82.612488 108.851791
"Port Louis-C" 477 -20.200001 57.599998 68.860855 100.953934 133.047028
"Rodrigues" 1672 -19.680000 63.430000 69.328102 101.058983 132.789856
"Kelang" 1591 3.050000 101.430000 60.551674 86.771042 112.990402
"Keling" 1593 2.350000 102.180000 65.748512 93.926994 122.105476
"Langkawi" 1676 6.900000 99.800003 60.818565 89.623520 118.428482
"Lumut" 1594 4.300000 100.730003 60.551674 86.771042 112.990402
"Penang" 1595 5.470000 100.470001 60.551674 86.771042 112.990402
"Zanzibar" 1600 -6.200000 39.250000 68.175224 93.655457 119.135689
"Broome" 1159 -18.020000 122.230003 67.273811 96.038750 124.803688
"Darwin" 935 -12.520000 130.970001 66.309486 94.878540 123.447586
"Cocos" 983 -12.120000 96.970001 70.620178 101.547447 132.474701
"Fremantle" 111 -32.049999 115.730003 65.551208 94.799789 124.048363
"Esperance" 1114 -33.900002 122.019997 65.260483 94.825142 124.389801
"Port Elizabeth" 820 -34.049999 25.750000 69.233948 99.604652 129.975372
"Ceuta" 498 35.900002 354.679993 56.264286 76.858276 97.452263
"Vigo" 483 42.230000 351.269989 61.601276 88.482109 115.362953
"Cascais" 52 38.770000 350.579987 63.854015 87.400581 110.947144
"Funchal-B" 1030 32.730000 342.970001 68.316528 98.693008 129.069489
"Simon's Town" 826 -34.180000 18.430000 68.210793 97.493362 126.775932
"Fernandina Beach" 112 30.719999 278.529999 73.410057 103.358170 133.306290
"Key West,FL" 188 24.580000 278.119995 71.780289 102.436806 133.093323
"San Juan,PR" 1001 18.549999 293.880005 66.497009 96.075943 125.654861
"Magueyes Island,PR" 759 18.020000 292.830017 66.854095 96.287361 125.720634
"Portland,ME" 183 43.720001 289.630005 50.500576 91.992111 133.483643
"Newport,RI" 351 41.549999 288.580017 65.496704 105.508171 145.519638
"Limetree Bay" 1447 17.820000 295.220001 67.761681 96.733215 125.704742
"Charlotte Amalie" 1393 18.350000 295.049988 67.530418 96.987228 126.444038
"Bermuda-B" 368 32.430000 295.269989 57.928551 93.409294 128.890045
"Duck Pier,NC" 1636 36.180000 284.130005 79.114227 115.197716 151.281219
"Charleston,SC-B" 234 32.919998 280.000000 71.931366 105.706749 139.482147
"Atlantic City,NJ" 180 39.400002 285.570007 76.773598 114.677414 152.581238
"Cartagena" 572 10.380000 284.470001 68.419556 93.799004 119.178459
"Cristobal" 169 9.400000 279.950012 69.445786 94.930656 120.415520
"Churchill" 447 58.770000 265.820007 -150.874298 -60.295017 30.284273
"Halifax" 96 44.669998 296.419983 67.875374 105.481697 143.088013
"St. John's-A" 393 47.570000 307.299988 72.664558 106.792709 140.920868
"Montauk,NY" 519 41.180000 287.950012 73.441170 110.127937 146.814697
"Ilha Fiscal,RJ" 1032 -23.020000 316.700012 60.010002 88.232292 116.454575
"Cananeia-A" 726 -25.020000 312.000000 59.503765 87.683853 115.863945
"Buenos Aires" 157 -34.669998 301.500000 49.823414 77.252129 104.680840
"Gibraltar-A" 490 36.130001 354.649994 56.140049 76.706772 97.273499
"Lerwick" 830 60.200001 358.799988 50.312263 80.352470 110.392670
"Newlyn, Cornwall" 202 50.119999 354.380005 62.378658 87.821648 113.264633
"Stornoway" 314 58.279999 353.570007 42.375816 74.186546 105.997276
"Balboa" 163 9.100000 280.369995 70.193420 95.882065 121.570709
"Tumaco" 639 1.820000 281.149994 59.676479 84.119774 108.563065
"Acapulco-A,Gro." 686 16.900000 259.980011 63.816525 92.020836 120.225143
"Ensenada" 795 31.850000 243.369995 65.103302 94.310745 123.518181
"Cendering" 1592 5.400000 103.220001 64.888756 92.996231 121.103691
