Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 29.495075 45.528118 61.561169
"Baltra-B" 1645 -0.470000 269.700012 27.919275 42.766666 57.614059
"Majuro-A" 1217 7.170000 171.429993 30.394482 46.009548 61.624615
"Malakal-B" 1252 7.450000 134.580002 26.728456 43.673367 60.618275
"Yap-B" 1251 9.580000 138.229996 28.049015 44.616776 61.184532
"Rabaul" 1164 -4.200000 152.250000 27.487331 44.239487 60.991638
"Christmas-B" 801 2.120000 202.479996 29.740238 45.244774 60.749310
"Kanton-B" 575 -2.900000 188.270004 30.220779 45.602135 60.983490
"French Frigate-A" 1372 23.879999 193.669998 28.990942 44.883816 60.776691
"Papeete-B" 1397 -17.600000 210.429993 27.877056 42.725342 57.573627
"Rikitea" 1253 -23.200001 225.020004 26.276630 41.282158 56.287682
"Noumea" 2134 -22.320000 166.419998 29.209358 44.217197 59.225040
"Juan Fernandez-B" 1644 -33.669998 281.049988 24.575382 39.171104 53.766830
"Easter-C" 1272 -27.200001 250.500000 24.272266 39.092636 53.913010
"Penrhyn" 1450 -9.070000 201.919998 29.196856 44.605114 60.013378
"Saipan-B" 1474 15.320000 145.820007 26.904858 44.611996 62.319138
"Kapingamarangi" 1473 1.230000 154.869995 30.461567 45.812737 61.163910
"Santa Cruz" 300 -0.800000 269.570007 27.919275 42.766666 57.614059
"Cabo San Lucas" 1355 23.000000 250.019989 31.087154 44.343513 57.599873
"San Felix" 1751 -26.370001 279.820007 25.513189 39.577827 53.642464
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 17.871624 36.979485 56.087345
"Adak,Alaska" 487 51.980000 183.229996 23.706554 40.350517 56.994480
"Dutch Harbor-B,AK" 390 54.000000 193.429993 23.732481 40.218952 56.705429
"Chichijima" 1391 27.100000 142.179993 27.168983 45.719315 64.269646
"Midway" 523 28.219999 182.630005 29.878086 46.800224 63.722366
"Wake" 595 19.280001 166.619995 27.399387 45.075195 62.751007
"Johnston" 598 16.780001 190.350006 28.767849 46.006359 63.244873
"Apra Harbor, Guam" 540 13.430000 144.649994 27.835506 44.614529 61.393555
"Chuuk" 528 7.450000 151.850006 28.767538 45.181767 61.595993
"Kwajalein" 513 8.730000 167.729996 30.191315 46.129803 62.068291
"Pago Pago" 539 -14.280000 189.320007 28.796213 44.652710 60.509205
"Honolulu-B,Hawaii" 155 21.370001 202.130005 29.030979 44.678787 60.326595
"Nawiliwili" 756 21.969999 200.649994 29.351309 45.067287 60.783268
"Kahului" 521 20.900000 203.529999 29.322058 45.123436 60.924816
"Hilo, Hawaii" 300 19.730000 204.929993 28.378263 44.768116 61.157967
"Mokuoloe" 823 21.430000 202.199997 29.030979 44.678787 60.326595
"Wellington" 221 -41.279999 174.779999 24.570974 38.028366 51.485752
"Tauranga" 1590 -37.650002 176.179993 25.600451 38.911327 52.222206
"Taranaki" 996 -39.049999 174.029999 25.089655 37.244831 49.400009
"Antofagasta" 510 -23.680000 289.549988 23.742384 34.898178 46.053974
"Valparaiso" 499 -33.119999 288.279999 21.838291 33.042824 44.247360
"Acajutla-A" 1302 13.580000 270.169983 25.635427 41.410412 57.185398
"Lobos de Afuera" 1552 -6.930000 279.279999 23.437141 38.693531 53.949921
"Buenaventura" 456 3.950000 282.830017 22.039541 36.433186 50.826836
"Quepos-A" 844 9.400000 275.830017 27.295893 38.501232 49.706573
"La Libertad" 544 -2.200000 279.080017 23.284922 38.110931 52.936943
"Callao-B" 1274 -12.080000 282.830017 22.660711 37.305614 51.950516
"Port Louis-C" 477 -20.200001 57.599998 29.532845 46.133621 62.734402
"Rodrigues" 1672 -19.680000 63.430000 29.379999 45.585140 61.790283
"Kelang" 1591 3.050000 101.430000 23.445831 35.945751 48.445671
"Keling" 1593 2.350000 102.180000 24.871067 41.080353 57.289635
"Langkawi" 1676 6.900000 99.800003 23.706717 39.873585 56.040455
"Lumut" 1594 4.300000 100.730003 23.445831 35.945751 48.445671
"Penang" 1595 5.470000 100.470001 23.445831 35.945751 48.445671
"Zanzibar" 1600 -6.200000 39.250000 29.502947 42.147984 54.793018
"Broome" 1159 -18.020000 122.230003 25.951941 41.834061 57.716187
"Darwin" 935 -12.520000 130.970001 26.191717 41.575752 56.959785
"Cocos" 983 -12.120000 96.970001 29.157486 45.707191 62.256897
"Fremantle" 111 -32.049999 115.730003 24.735708 42.082390 59.429073
"Esperance" 1114 -33.900002 122.019997 27.480614 43.090878 58.701141
"Port Elizabeth" 820 -34.049999 25.750000 30.807501 46.527451 62.247402
"Ceuta" 498 35.900002 354.679993 22.564184 30.294582 38.024979
"Vigo" 483 42.230000 351.269989 24.735449 38.895969 53.056484
"Cascais" 52 38.770000 350.579987 26.955217 37.468437 47.981655
"Funchal-B" 1030 32.730000 342.970001 27.981689 43.102798 58.223904
"Simon's Town" 826 -34.180000 18.430000 29.989815 44.546558 59.103306
"Fernandina Beach" 112 30.719999 278.529999 29.682716 48.920914 68.159119
"Key West,FL" 188 24.580000 278.119995 32.331039 47.750679 63.170319
"San Juan,PR" 1001 18.549999 293.880005 30.283087 44.316666 58.350246
"Magueyes Island,PR" 759 18.020000 292.830017 30.515713 44.415596 58.315479
"Portland,ME" 183 43.720001 289.630005 2.281144 35.552372 68.823601
"Newport,RI" 351 41.549999 288.580017 16.925222 48.151035 79.376846
