Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 12.225250 22.271677 32.318108
"Baltra-B" 1645 -0.470000 269.700012 12.293428 21.137787 29.982147
"Majuro-A" 1217 7.170000 171.429993 12.740082 22.493820 32.247559
"Malakal-B" 1252 7.450000 134.580002 10.648942 21.038504 31.428066
"Yap-B" 1251 9.580000 138.229996 11.164689 21.470135 31.775581
"Rabaul" 1164 -4.200000 152.250000 12.264059 21.356333 30.448606
"Christmas-B" 801 2.120000 202.479996 12.322107 21.881029 31.439951
"Kanton-B" 575 -2.900000 188.270004 13.011396 22.157488 31.303579
"French Frigate-A" 1372 23.879999 193.669998 13.527645 22.598743 31.669844
"Papeete-B" 1397 -17.600000 210.429993 11.669588 20.890028 30.110466
"Rikitea" 1253 -23.200001 225.020004 11.105583 20.076412 29.047239
"Noumea" 2134 -22.320000 166.419998 13.279477 22.819504 32.359531
"Juan Fernandez-B" 1644 -33.669998 281.049988 11.505546 19.492203 27.478863
"Easter-C" 1272 -27.200001 250.500000 11.003994 19.592863 28.181732
"Penrhyn" 1450 -9.070000 201.919998 12.773884 21.574203 30.374523
"Saipan-B" 1474 15.320000 145.820007 10.783235 21.562525 32.341816
"Kapingamarangi" 1473 1.230000 154.869995 13.862080 22.489105 31.116131
"Santa Cruz" 300 -0.800000 269.570007 12.293428 21.137787 29.982147
"Cabo San Lucas" 1355 23.000000 250.019989 14.053713 21.365263 28.676813
"San Felix" 1751 -26.370001 279.820007 11.848432 19.364223 26.880016
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 5.006676 16.858120 28.709564
"Adak,Alaska" 487 51.980000 183.229996 10.466383 19.590124 28.713863
"Dutch Harbor-B,AK" 390 54.000000 193.429993 9.121458 19.122696 29.123932
"Chichijima" 1391 27.100000 142.179993 11.716031 24.059488 36.402943
"Midway" 523 28.219999 182.630005 14.309162 24.420301 34.531441
"Wake" 595 19.280001 166.619995 10.259943 21.667980 33.076019
"Johnston" 598 16.780001 190.350006 10.922650 21.746035 32.569420
"Apra Harbor, Guam" 540 13.430000 144.649994 11.334030 21.423172 31.512314
"Chuuk" 528 7.450000 151.850006 12.135813 22.087574 32.039337
"Kwajalein" 513 8.730000 167.729996 12.150493 22.543127 32.935760
"Pago Pago" 539 -14.280000 189.320007 11.676149 21.787827 31.899504
"Honolulu-B,Hawaii" 155 21.370001 202.130005 12.368711 21.592564 30.816418
"Nawiliwili" 756 21.969999 200.649994 12.633997 21.814510 30.995024
"Kahului" 521 20.900000 203.529999 12.167514 21.797327 31.427141
"Hilo, Hawaii" 300 19.730000 204.929993 11.011107 21.382729 31.754351
"Mokuoloe" 823 21.430000 202.199997 12.368711 21.592564 30.816418
"Wellington" 221 -41.279999 174.779999 14.492054 20.976467 27.460878
"Tauranga" 1590 -37.650002 176.179993 15.228683 21.834358 28.440035
"Taranaki" 996 -39.049999 174.029999 13.787567 20.275736 26.763905
"Antofagasta" 510 -23.680000 289.549988 10.522413 16.983742 23.445070
"Valparaiso" 499 -33.119999 288.279999 9.534914 16.205307 22.875700
"Acajutla-A" 1302 13.580000 270.169983 11.140781 20.111023 29.081264
"Lobos de Afuera" 1552 -6.930000 279.279999 9.818667 19.012644 28.206619
"Buenaventura" 456 3.950000 282.830017 9.514042 17.623898 25.733751
"Quepos-A" 844 9.400000 275.830017 11.834694 18.882557 25.930422
"La Libertad" 544 -2.200000 279.080017 9.935573 18.690331 27.445087
"Callao-B" 1274 -12.080000 282.830017 9.703600 18.182461 26.661322
"Port Louis-C" 477 -20.200001 57.599998 12.712601 23.029831 33.347061
"Rodrigues" 1672 -19.680000 63.430000 13.083113 22.776211 32.469307
"Kelang" 1591 3.050000 101.430000 8.828979 17.054123 25.279266
"Keling" 1593 2.350000 102.180000 11.528640 20.467291 29.405939
"Langkawi" 1676 6.900000 99.800003 9.742455 19.617840 29.493225
"Lumut" 1594 4.300000 100.730003 8.828979 17.054123 25.279266
"Penang" 1595 5.470000 100.470001 8.828979 17.054123 25.279266
"Zanzibar" 1600 -6.200000 39.250000 13.474202 20.610508 27.746815
"Broome" 1159 -18.020000 122.230003 11.062513 20.731058 30.399603
"Darwin" 935 -12.520000 130.970001 11.473356 20.467693 29.462034
"Cocos" 983 -12.120000 96.970001 12.005538 22.209381 32.413227
"Fremantle" 111 -32.049999 115.730003 10.764229 20.457912 30.151596
"Esperance" 1114 -33.900002 122.019997 12.294560 21.023291 29.752020
"Port Elizabeth" 820 -34.049999 25.750000 16.090731 23.763992 31.437254
"Ceuta" 498 35.900002 354.679993 12.277376 16.413216 20.549053
"Vigo" 483 42.230000 351.269989 12.997577 21.373087 29.748598
"Cascais" 52 38.770000 350.579987 14.361090 20.327604 26.294119
"Funchal-B" 1030 32.730000 342.970001 13.942570 23.479935 33.017303
