Station ID Lat Lon 5th 50th 95th
"Cananeia-A" 726 -25.020000 312.000000 18.526020 28.031614 37.537209
"Buenos Aires" 157 -34.669998 301.500000 15.215105 24.875244 34.535385
"Gibraltar-A" 490 36.130001 354.649994 18.598751 24.851498 31.104246
"Lerwick" 830 60.200001 358.799988 14.392829 27.085346 39.777863
"Newlyn, Cornwall" 202 50.119999 354.380005 19.977247 29.011986 38.046722
"Stornoway" 314 58.279999 353.570007 8.964889 22.360840 35.756790
"Balboa" 163 9.100000 280.369995 23.555378 31.675613 39.795849
"Tumaco" 639 1.820000 281.149994 16.958872 24.856739 32.754604
"Acapulco-A,Gro." 686 16.900000 259.980011 18.285328 27.377733 36.470139
"Ensenada" 795 31.850000 243.369995 19.440273 28.941372 38.442471
"Cendering" 1592 5.400000 103.220001 18.767817 28.797394 38.826973
"Johor Baharu" 248 1.570000 103.870003 18.910105 28.235895 37.561684
"Kuantan" 1589 4.050000 103.550003 17.955065 28.553476 39.151890
"Tioman" 1678 2.870000 104.199997 18.862852 28.400494 37.938133
"Sedili" 1702 2.070000 104.250000 18.862852 28.400494 37.938133
"Kukup" 1677 1.400000 103.529999 18.174612 27.824730 37.474846
"Geting" 1703 6.320000 102.169998 18.436951 27.895351 37.353752
"Ko Lak" 174 11.900000 99.820000 17.281719 27.116034 36.950348
"Hong Kong-B" 333 22.299999 114.220001 18.941507 28.403149 37.864788
"Brisbane" 822 -27.370001 153.169998 21.621510 31.019127 40.416744
"Bundaberg" 1154 -24.770000 152.500000 22.046904 31.509325 40.971748
"Fort Denison" 65 -33.900002 151.320007 22.485291 31.515446 40.545601
"Townsville" 637 -19.250000 146.830002 21.511539 30.477242 39.442940
"Spring Bay" 1216 -42.669998 148.070007 19.767424 31.653790 43.540157
"Kaohsiung" 1356 22.750000 120.330002 19.886356 29.787577 39.688797
"Keelung" 545 25.200001 121.769997 17.741417 29.155699 40.569981
"Nakano Shima" 1105 29.920000 129.919998 19.549030 31.683218 43.817406
"Abashiri" 1104 44.020000 144.279999 15.693089 24.610945 33.528797
"Hamada" 94 34.900002 132.070007 18.447403 27.104124 35.760845
"Toyama" 1389 36.770000 137.229996 18.706074 27.056234 35.406395
"Kushiro" 518 42.970001 144.369995 15.064448 24.606739 34.149029
"Ofunato" 1364 39.020000 141.750000 17.261759 25.544647 33.827534
"Mera" 359 34.919998 139.820007 16.960812 29.028702 41.096592
"Kushimoto" 134 33.480000 135.770004 18.100685 27.735641 37.370598
"Aburatsu" 814 31.580000 131.419998 17.289982 30.078608 42.867233
"Naha" 1151 26.219999 127.669998 19.648188 32.094650 44.541107
"Maisaka" 1089 34.680000 137.619995 17.136904 26.834524 36.532143
"Miyakejima" 1060 34.070000 139.619995 16.960812 29.028702 41.096592
"Hosojima" 133 32.419998 131.679993 15.989630 29.232471 42.475311
"Naze" 887 28.400000 129.630005 19.663124 32.236576 44.810028
"Wakkanai" 1103 45.400002 141.679993 14.844550 27.168842 39.493137
"Nagasaki" 1100 32.730000 129.869995 18.745131 29.771292 40.797455
"Nishinoomote" 1096 30.750000 131.070007 18.647936 30.737003 42.826073
"Hakodate" 813 41.779999 140.720001 18.291622 26.443914 34.596207
"Ishigaki" 1411 24.330000 124.150002 19.318542 31.143909 42.969276
"Manila" 145 14.600000 120.980003 16.561489 26.882917 37.204342
"Legaspi" 522 13.250000 123.830002 17.716963 28.736174 39.755386
"Hachinohe" 460 40.529999 141.529999 17.509312 25.419781 33.330250
"Xiamen" 727 24.450001 118.070000 17.422117 28.550467 39.678818
"Salina Cruz" 689 16.250000 264.769989 18.337139 27.429176 36.521210
"Manzanillo-A" 737 19.080000 255.550003 18.456728 27.586826 36.716927
"Guaymas" 693 27.930000 249.100006 15.966284 25.719965 35.473644
"Marsden Point" 1065 -35.830002 174.500000 22.024090 33.902653 45.781219
"Prince Rupert" 167 54.320000 229.619995 0.690050 9.992801 19.295551
"Tofino" 165 49.180000 233.970001 10.087018 19.885113 29.683208
"San Francisco,CA" 10 37.869999 237.399994 15.255358 25.572920 35.890484
"La Jolla,CA" 256 32.869999 242.679993 15.635604 25.571770 35.507935
"Monterey,CA" 1352 36.650002 238.070007 17.768654 28.159580 38.550507
"Crescent City,CA" 378 41.849998 235.820007 16.554976 27.179211 37.803448
"Port Orford, OR" 1640 42.799999 235.380005 16.713648 27.012920 37.312191
"Neah Bay,WA" 385 48.380001 235.380005 12.920004 22.714998 32.509991
"Sitka,AK" 426 57.070000 224.580002 12.679258 22.112919 31.546577
"Seward-C,AK" 266 60.150002 210.479996 9.648382 20.840687 32.032990
"Seldovia,AK" 1070 59.500000 208.250000 8.086994 20.657904 33.228813
"Valdez,AK" 1353 61.200001 213.529999 5.770139 16.994152 28.218168
"Willapa Bay, WA" 1354 46.779999 235.899994 15.984485 26.293924 36.603363
"Port San Luis, CA" 508 35.270000 239.149994 17.431490 27.634958 37.838425
"Los Angeles,CA" 245 33.750000 241.679993 13.564524 23.184179 32.803833
"San Diego,CA" 158 32.830002 242.769989 15.635604 25.571770 35.507935
"Yakutat,AK" 445 59.680000 220.250000 3.219329 15.440041 27.660751
"Ketchikan,AK" 225 55.330002 228.300003 5.388119 16.660006 27.931892
"Astoria,OR" 265 46.279999 236.230011 15.984485 26.293924 36.603363
"Arena Cove, CA" 2125 39.029999 236.220001 16.419949 26.839876 37.259804
"Sand Point,AK" 1634 55.369999 199.479996 13.198921 25.714954 38.230988
"Charleston,OR" 1269 43.450001 235.630005 17.683075 27.490646 37.298214
"Humboldt Bay, CA" 1639 40.770000 235.779999 16.539764 27.015543 37.491322
"Santa Monica, CA" 377 34.080002 241.500000 13.564524 23.184179 32.803833
"Cordova-B,Alaska" 566 60.630001 214.220001 5.235699 16.800785 28.365871
"South Beach,OR" 1196 44.700001 235.869995 18.064001 27.333021 36.602039
"Puerto Montt" 472 -41.500000 286.929993 10.088459 16.790617 23.492775
"Faraday" 913 -65.250000 295.730011 -14.737669 2.074108 18.885887
"Port Nolloth" 836 -29.250000 16.870001 22.789627 30.883402 38.977177
"Luderitz" 911 -26.650000 15.150000 23.089808 31.320656 39.551502
"Eastport,ME" 332 44.930000 293.000000 8.715052 26.469999 44.224949
"Boston,MA" 235 42.400002 288.929993 11.312735 30.963581 50.614429
"Woods Hole,MA" 367 41.580002 289.279999 18.180525 36.160412 54.140301
"Nantucket,MA" 1111 41.299999 289.779999 18.180525 36.160412 54.140301
"New London,CT" 429 41.400002 287.880005 23.465031 39.251976 55.038918
"New York,NY" 12 40.700001 285.850006 22.238182 39.649849 57.061512
"Cape May,NJ" 1153 38.980000 284.950012 28.251093 40.875198 53.499306
"Lewes,DE" 224 38.919998 284.850006 28.251093 40.875198 53.499306
"Chesapeake BBT" 1635 36.970001 283.769989 26.370323 41.122082 55.873840
"Wilmington,NC" 396 34.320000 282.019989 24.220985 37.150864 50.080742
"Fort Pulaski,GA" 395 32.029999 279.080017 23.203394 35.546581 47.889767
"Mayport,FL" 316 30.500000 278.429993 24.000835 35.854477 47.708118
"Naples,FL" 1107 26.250000 278.130005 24.572092 35.313358 46.054626
"St. Petersburg, FL" 520 27.850000 277.279999 24.732355 35.917583 47.102814
"Apalachicola,FL" 1193 29.820000 274.880005 23.496252 35.290398 47.084545
"Pensacola,FL" 246 30.430000 272.669983 23.685057 35.410248 47.135437
"Grand Isle,LA" 526 29.379999 269.980011 23.021883 34.244759 45.467632
"Sabine Pass N,TX" 920 29.850000 266.100006 23.127178 34.321964 45.516750
"Galveston,P.Pier" 161 29.320000 265.149994 22.152090 32.845013 43.537933
"Rockport, TX" 538 28.070000 262.830017 23.964287 33.836010 43.707733
"Corpus Cristi,TX" 1903 27.700001 262.779999 23.964287 33.836010 43.707733
"Port Isabel,TX" 497 26.150000 262.649994 23.714340 33.656425 43.598515
