Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 14.130221 24.545984 34.961746
"Baltra-B" 1645 -0.470000 269.700012 14.207417 23.104362 32.001308
"Majuro-A" 1217 7.170000 171.429993 14.816633 24.870726 34.924820
"Malakal-B" 1252 7.450000 134.580002 12.331448 23.603722 34.875996
"Yap-B" 1251 9.580000 138.229996 13.499959 24.396988 35.294022
"Rabaul" 1164 -4.200000 152.250000 12.531412 22.715794 32.900177
"Christmas-B" 801 2.120000 202.479996 14.264059 23.781157 33.298256
"Kanton-B" 575 -2.900000 188.270004 14.987191 24.112303 33.237415
"French Frigate-A" 1372 23.879999 193.669998 14.184563 24.133877 34.083195
"Papeete-B" 1397 -17.600000 210.429993 13.568290 22.676395 31.784498
"Rikitea" 1253 -23.200001 225.020004 12.189564 21.542494 30.895424
"Noumea" 2134 -22.320000 166.419998 15.230974 25.327715 35.424458
"Juan Fernandez-B" 1644 -33.669998 281.049988 12.691656 20.362251 28.032848
"Easter-C" 1272 -27.200001 250.500000 12.061114 20.503927 28.946743
"Penrhyn" 1450 -9.070000 201.919998 14.115408 23.230890 32.346375
"Saipan-B" 1474 15.320000 145.820007 12.594748 24.442902 36.291058
"Kapingamarangi" 1473 1.230000 154.869995 15.474375 24.636791 33.799206
"Santa Cruz" 300 -0.800000 269.570007 14.207417 23.104362 32.001308
"Cabo San Lucas" 1355 23.000000 250.019989 15.331176 23.382690 31.434206
"San Felix" 1751 -26.370001 279.820007 12.252093 19.931105 27.610117
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 8.109749 19.311960 30.514172
"Adak,Alaska" 487 51.980000 183.229996 10.879044 21.395775 31.912508
"Dutch Harbor-B,AK" 390 54.000000 193.429993 11.228164 20.795633 30.363100
"Chichijima" 1391 27.100000 142.179993 14.786790 26.567337 38.347881
"Midway" 523 28.219999 182.630005 14.657203 25.993675 37.330147
"Wake" 595 19.280001 166.619995 12.950566 24.766762 36.582958
"Johnston" 598 16.780001 190.350006 14.059708 25.330400 36.601093
"Apra Harbor, Guam" 540 13.430000 144.649994 13.295515 24.432419 35.569321
"Chuuk" 528 7.450000 151.850006 13.803760 24.316145 34.828533
"Kwajalein" 513 8.730000 167.729996 14.722840 25.069220 35.415596
"Pago Pago" 539 -14.280000 189.320007 13.148655 23.432701 33.716751
"Honolulu-B,Hawaii" 155 21.370001 202.130005 13.893050 23.507360 33.121674
"Nawiliwili" 756 21.969999 200.649994 13.904392 23.687084 33.469776
"Kahului" 521 20.900000 203.529999 14.408502 24.077364 33.746223
"Hilo, Hawaii" 300 19.730000 204.929993 13.669979 24.016420 34.362862
"Mokuoloe" 823 21.430000 202.199997 13.893050 23.507360 33.121674
"Wellington" 221 -41.279999 174.779999 15.563020 24.314211 33.065403
"Tauranga" 1590 -37.650002 176.179993 15.102035 24.872738 34.643440
"Taranaki" 996 -39.049999 174.029999 14.961246 23.692617 32.423988
"Antofagasta" 510 -23.680000 289.549988 12.616793 18.801323 24.985853
"Valparaiso" 499 -33.119999 288.279999 11.032116 17.571131 24.110144
"Acajutla-A" 1302 13.580000 270.169983 13.295421 21.613808 29.932196
"Lobos de Afuera" 1552 -6.930000 279.279999 12.536878 20.945326 29.353773
"Buenaventura" 456 3.950000 282.830017 11.742835 19.255939 26.769043
"Quepos-A" 844 9.400000 275.830017 13.568215 20.674511 27.780807
"La Libertad" 544 -2.200000 279.080017 12.152262 20.285313 28.418362
"Callao-B" 1274 -12.080000 282.830017 12.176621 19.685524 27.194427
"Port Louis-C" 477 -20.200001 57.599998 13.653602 24.749493 35.845383
"Rodrigues" 1672 -19.680000 63.430000 13.836082 24.441805 35.047527
"Kelang" 1591 3.050000 101.430000 10.741433 19.328400 27.915367
"Keling" 1593 2.350000 102.180000 13.723329 23.045025 32.366718
"Langkawi" 1676 6.900000 99.800003 11.238195 21.311388 31.384581
"Lumut" 1594 4.300000 100.730003 10.741433 19.328400 27.915367
"Penang" 1595 5.470000 100.470001 10.741433 19.328400 27.915367
"Zanzibar" 1600 -6.200000 39.250000 15.167295 22.826548 30.485800
"Broome" 1159 -18.020000 122.230003 13.724243 23.699070 33.673897
"Darwin" 935 -12.520000 130.970001 13.965896 23.306665 32.647438
"Cocos" 983 -12.120000 96.970001 14.259595 24.765928 35.272263
"Fremantle" 111 -32.049999 115.730003 12.581054 23.165287 33.749519
"Esperance" 1114 -33.900002 122.019997 14.510282 23.392750 32.275219
"Port Elizabeth" 820 -34.049999 25.750000 17.328341 25.172047 33.015751
"Ceuta" 498 35.900002 354.679993 14.036787 18.741013 23.445240
"Vigo" 483 42.230000 351.269989 14.331904 22.761591 31.191277
"Cascais" 52 38.770000 350.579987 15.655986 22.042276 28.428566
"Funchal-B" 1030 32.730000 342.970001 15.547863 24.847191 34.146519
"Simon's Town" 826 -34.180000 18.430000 17.483524 24.786959 32.090397
"Fernandina Beach" 112 30.719999 278.529999 17.854395 29.299513 40.744633
"Key West,FL" 188 24.580000 278.119995 18.450108 27.508078 36.566048
"San Juan,PR" 1001 18.549999 293.880005 15.901587 24.125746 32.349903
"Magueyes Island,PR" 759 18.020000 292.830017 15.822467 24.067446 32.312428
"Portland,ME" 183 43.720001 289.630005 2.840348 20.966331 39.092316
"Newport,RI" 351 41.549999 288.580017 11.641671 28.671667 45.701664
"Limetree Bay" 1447 17.820000 295.220001 16.518629 24.335123 32.151619
"Charlotte Amalie" 1393 18.350000 295.049988 16.521254 24.556108 32.590965
"Bermuda-B" 368 32.430000 295.269989 10.543198 24.220711 37.898224
"Duck Pier,NC" 1636 36.180000 284.130005 21.942520 34.671848 47.401176
"Charleston,SC-B" 234 32.919998 280.000000 17.420959 30.199926 42.978893
"Atlantic City,NJ" 180 39.400002 285.570007 19.346891 33.205883 47.064877
"Cartagena" 572 10.380000 284.470001 16.661358 24.009653 31.357950
"Cristobal" 169 9.400000 279.950012 17.319576 24.378185 31.436794
"Churchill" 447 58.770000 265.820007 -111.926926 -61.208206 -10.489488
"Halifax" 96 44.669998 296.419983 14.314013 28.895987 43.477959
"St. John's-A" 393 47.570000 307.299988 18.424463 30.471655 42.518848
"Montauk,NY" 519 41.180000 287.950012 16.974348 31.604609 46.234871
"Ilha Fiscal,RJ" 1032 -23.020000 316.700012 14.978261 22.719898 30.461538
"Cananeia-A" 726 -25.020000 312.000000 14.775298 22.715511 30.655724
"Buenos Aires" 157 -34.669998 301.500000 12.004899 20.241182 28.477463
"Gibraltar-A" 490 36.130001 354.649994 13.894768 18.601700 23.308634
"Lerwick" 830 60.200001 358.799988 9.014275 19.924992 30.835707
"Newlyn, Cornwall" 202 50.119999 354.380005 15.294637 23.258410 31.222183
"Stornoway" 314 58.279999 353.570007 3.294971 15.955515 28.616058
"Balboa" 163 9.100000 280.369995 17.510754 25.105244 32.699734
"Tumaco" 639 1.820000 281.149994 12.292509 19.715801 27.139091
"Acapulco-A,Gro." 686 16.900000 259.980011 13.372427 21.526073 29.679722
"Ensenada" 795 31.850000 243.369995 14.420477 22.868580 31.316683
"Cendering" 1592 5.400000 103.220001 13.596970 23.025122 32.453270
"Johor Baharu" 248 1.570000 103.870003 13.998630 22.327631 30.656630
"Kuantan" 1589 4.050000 103.550003 12.723234 22.647432 32.571632
"Tioman" 1678 2.870000 104.199997 13.931068 22.492002 31.052935
"Sedili" 1702 2.070000 104.250000 13.931068 22.492002 31.052935
"Kukup" 1677 1.400000 103.529999 13.265586 21.463436 29.661285
"Geting" 1703 6.320000 102.169998 13.401163 21.891588 30.382013
"Ko Lak" 174 11.900000 99.820000 12.779408 21.048326 29.317245
"Hong Kong-B" 333 22.299999 114.220001 13.655850 22.459240 31.262630
"Brisbane" 822 -27.370001 153.169998 16.943476 24.972010 33.000546
"Bundaberg" 1154 -24.770000 152.500000 17.028427 25.587051 34.145676
"Fort Denison" 65 -33.900002 151.320007 17.350178 25.818947 34.287716
"Townsville" 637 -19.250000 146.830002 16.160015 24.647284 33.134552
"Spring Bay" 1216 -42.669998 148.070007 14.695975 25.557676 36.419376
"Kaohsiung" 1356 22.750000 120.330002 14.931132 23.723169 32.515209
"Keelung" 545 25.200001 121.769997 12.719170 22.783064 32.846958
"Nakano Shima" 1105 29.920000 129.919998 14.018676 24.884438 35.750198
"Abashiri" 1104 44.020000 144.279999 10.580708 19.140266 27.699825
"Hamada" 94 34.900002 132.070007 12.802399 20.726776 28.651154
"Toyama" 1389 36.770000 137.229996 12.968230 20.724518 28.480804
"Kushiro" 518 42.970001 144.369995 9.940607 18.795086 27.649563
"Ofunato" 1364 39.020000 141.750000 11.632614 19.859213 28.085810
"Mera" 359 34.919998 139.820007 10.950920 22.066200 33.181480
"Kushimoto" 134 33.480000 135.770004 12.823934 21.113005 29.402075
"Aburatsu" 814 31.580000 131.419998 11.726551 23.241457 34.756363
"Naha" 1151 26.219999 127.669998 14.703268 25.581984 36.460697
"Maisaka" 1089 34.680000 137.619995 11.028583 19.974785 28.920988
"Miyakejima" 1060 34.070000 139.619995 10.950920 22.066200 33.181480
"Hosojima" 133 32.419998 131.679993 10.976764 22.794195 34.611626
"Naze" 887 28.400000 129.630005 14.286745 25.589994 36.893242
"Wakkanai" 1103 45.400002 141.679993 9.933396 21.094528 32.255657
"Nagasaki" 1100 32.730000 129.869995 13.055122 22.936543 32.817963
"Nishinoomote" 1096 30.750000 131.070007 13.260019 24.037275 34.814529
"Hakodate" 813 41.779999 140.720001 12.573761 20.367462 28.161161
"Ishigaki" 1411 24.330000 124.150002 14.434422 24.835024 35.235630
"Manila" 145 14.600000 120.980003 11.404091 21.314423 31.224754
"Legaspi" 522 13.250000 123.830002 12.426190 22.710905 32.995625
"Hachinohe" 460 40.529999 141.529999 11.671422 19.487234 27.303045
"Xiamen" 727 24.450001 118.070000 12.624985 22.558170 32.491356
"Salina Cruz" 689 16.250000 264.769989 13.428840 21.643320 29.857800
"Manzanillo-A" 737 19.080000 255.550003 13.459820 21.686844 29.913870
"Guaymas" 693 27.930000 249.100006 11.555067 19.938814 28.322563
"Marsden Point" 1065 -35.830002 174.500000 18.073887 28.287342 38.500797
"Prince Rupert" 167 54.320000 229.619995 -2.040564 5.686866 13.414296
"Tofino" 165 49.180000 233.970001 7.173654 15.054017 22.934380
"San Francisco,CA" 10 37.869999 237.399994 10.926845 19.934200 28.941559
"La Jolla,CA" 256 32.869999 242.679993 10.619085 19.462696 28.306305
"Monterey,CA" 1352 36.650002 238.070007 13.107911 22.293421 31.478933
"Crescent City,CA" 378 41.849998 235.820007 12.691296 21.890940 31.090584
"Port Orford, OR" 1640 42.799999 235.380005 13.180333 21.717419 30.254503
"Neah Bay,WA" 385 48.380001 235.380005 9.131181 17.876801 26.622421
"Sitka,AK" 426 57.070000 224.580002 9.628335 17.343756 25.059175
"Seward-C,AK" 266 60.150002 210.479996 5.960564 15.760458 25.560349
"Seldovia,AK" 1070 59.500000 208.250000 5.847104 16.209101 26.571095
"Valdez,AK" 1353 61.200001 213.529999 2.840745 12.600189 22.359634
"Willapa Bay, WA" 1354 46.779999 235.899994 12.671173 21.287670 29.904169
"Port San Luis, CA" 508 35.270000 239.149994 12.712089 21.721903 30.731716
"Los Angeles,CA" 245 33.750000 241.679993 8.402118 17.345444 26.288769
"San Diego,CA" 158 32.830002 242.769989 10.619085 19.462696 28.306305
"Yakutat,AK" 445 59.680000 220.250000 -0.133861 10.539046 21.211952
"Ketchikan,AK" 225 55.330002 228.300003 2.290013 11.808353 21.326694
"Astoria,OR" 265 46.279999 236.230011 12.671173 21.287670 29.904169
"Arena Cove, CA" 2125 39.029999 236.220001 11.891684 21.018209 30.144735
"Sand Point,AK" 1634 55.369999 199.479996 8.704840 20.216349 31.727856
"Charleston,OR" 1269 43.450001 235.630005 14.306820 22.324026 30.341232
"Humboldt Bay, CA" 1639 40.770000 235.779999 12.190559 21.543417 30.896276
"Santa Monica, CA" 377 34.080002 241.500000 8.402118 17.345444 26.288769
"Cordova-B,Alaska" 566 60.630001 214.220001 1.859380 11.841500 21.823620
"South Beach,OR" 1196 44.700001 235.869995 14.817900 22.190027 29.562155
"Puerto Montt" 472 -41.500000 286.929993 7.054102 13.619984 20.185863
"Faraday" 913 -65.250000 295.730011 -14.157870 0.902549 15.962971
"Port Nolloth" 836 -29.250000 16.870001 17.214006 24.184141 31.154274
"Luderitz" 911 -26.650000 15.150000 17.432833 24.675238 31.917645
"Eastport,ME" 332 44.930000 293.000000 2.320641 18.804871 35.289101
"Boston,MA" 235 42.400002 288.929993 4.842424 23.887997 42.933567
"Woods Hole,MA" 367 41.580002 289.279999 11.641671 28.671667 45.701664
"Nantucket,MA" 1111 41.299999 289.779999 11.641671 28.671667 45.701664
"New London,CT" 429 41.400002 287.880005 16.974348 31.604609 46.234871
"New York,NY" 12 40.700001 285.850006 14.273273 30.726645 47.180016
"Cape May,NJ" 1153 38.980000 284.950012 23.164770 33.755131 44.345490
"Lewes,DE" 224 38.919998 284.850006 23.164770 33.755131 44.345490
"Chesapeake BBT" 1635 36.970001 283.769989 21.942520 34.671848 47.401176
"Wilmington,NC" 396 34.320000 282.019989 18.136635 30.621284 43.105934
"Fort Pulaski,GA" 395 32.029999 279.080017 17.201960 29.182247 41.162533
"Mayport,FL" 316 30.500000 278.429993 17.854395 29.299513 40.744633
"Naples,FL" 1107 26.250000 278.130005 18.916283 28.645901 38.375519
"St. Petersburg, FL" 520 27.850000 277.279999 18.900272 29.028645 39.157017
"Apalachicola,FL" 1193 29.820000 274.880005 17.716488 28.399158 39.081825
"Pensacola,FL" 246 30.430000 272.669983 17.885441 28.631895 39.378349
"Grand Isle,LA" 526 29.379999 269.980011 17.201630 27.568892 37.936153
"Sabine Pass N,TX" 920 29.850000 266.100006 17.335854 27.537861 37.739868
"Galveston,P.Pier" 161 29.320000 265.149994 16.155846 26.150660 36.145473
"Rockport, TX" 538 28.070000 262.830017 18.002132 27.046377 36.090622
"Corpus Cristi,TX" 1903 27.700001 262.779999 18.002132 27.046377 36.090622
"Port Isabel,TX" 497 26.150000 262.649994 18.122774 27.022669 35.922562
"Galveston,Pier 21" 161 29.400000 265.119995 16.155846 26.150660 36.145473
"Rorvik" 1241 64.870003 11.250000 -6.451240 5.327453 17.106146
"Tregde" 302 58.000000 7.570000 3.450671 16.620527 29.790384
"Vardo" 524 70.330002 31.100000 -2.744333 10.135222 23.014778
"Goteborg-Torsh." 1236 57.700001 11.850000 -2.977342 10.255723 23.488791
"Brest" 1 48.380001 355.399994 15.275357 23.105747 30.936134
"Ny-Alesund" 1421 78.930000 11.950000 -34.237679 -14.638871 4.959935
"Marseille" 61 43.380001 5.380000 14.674063 20.717979 26.761896
"Cuxhaven" 7 53.869999 8.720000 7.471725 23.661991 39.852257
"Stockholm" 78 59.400002 18.219999 -13.046253 2.353507 17.753267
"La Coruna" 484 43.369999 351.600006 13.823788 22.697592 31.571394
"Malin Head" 916 55.369999 352.670013 5.132416 17.128960 29.125504
"Gedser" 120 54.570000 11.930000 5.013445 20.989225 36.965008
"Hornbaek" 119 56.099998 12.470000 1.224843 16.084909 30.944977
