Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 42.412327 60.244160 78.075996
"Baltra-B" 1645 -0.470000 269.700012 39.650902 56.871651 74.092400
"Majuro-A" 1217 7.170000 171.429993 42.871300 60.495995 78.120697
"Malakal-B" 1252 7.450000 134.580002 40.460415 58.810192 77.159973
"Yap-B" 1251 9.580000 138.229996 41.268871 59.682076 78.095284
"Rabaul" 1164 -4.200000 152.250000 39.405804 57.689762 75.973724
"Christmas-B" 801 2.120000 202.479996 40.878696 58.867134 76.855568
"Kanton-B" 575 -2.900000 188.270004 41.495399 59.142517 76.789635
"French Frigate-A" 1372 23.879999 193.669998 41.061783 59.731739 78.401695
"Papeete-B" 1397 -17.600000 210.429993 38.385208 55.469906 72.554604
"Rikitea" 1253 -23.200001 225.020004 35.916794 53.021347 70.125900
"Noumea" 2134 -22.320000 166.419998 41.848125 59.537857 77.227592
"Juan Fernandez-B" 1644 -33.669998 281.049988 32.732040 48.784569 64.837097
"Easter-C" 1272 -27.200001 250.500000 33.789425 50.536091 67.282753
"Penrhyn" 1450 -9.070000 201.919998 40.604824 58.021652 75.438484
"Saipan-B" 1474 15.320000 145.820007 38.801807 59.026684 79.251556
"Kapingamarangi" 1473 1.230000 154.869995 42.072880 59.867847 77.662811
"Santa Cruz" 300 -0.800000 269.570007 39.650902 56.871651 74.092400
"Cabo San Lucas" 1355 23.000000 250.019989 42.913872 58.216579 73.519287
"San Felix" 1751 -26.370001 279.820007 34.139519 49.810047 65.480576
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 27.345510 48.440311 69.535110
"Adak,Alaska" 487 51.980000 183.229996 35.615383 53.893936 72.172485
"Dutch Harbor-B,AK" 390 54.000000 193.429993 34.436756 52.905201 71.373650
"Chichijima" 1391 27.100000 142.179993 38.951923 61.962021 84.972122
"Midway" 523 28.219999 182.630005 42.729004 63.283550 83.838097
"Wake" 595 19.280001 166.619995 39.294319 59.825783 80.357246
"Johnston" 598 16.780001 190.350006 41.652561 61.341522 81.030487
"Apra Harbor, Guam" 540 13.430000 144.649994 40.098152 59.132473 78.166794
"Chuuk" 528 7.450000 151.850006 41.924362 59.944427 77.964493
"Kwajalein" 513 8.730000 167.729996 42.726677 60.743141 78.759605
"Pago Pago" 539 -14.280000 189.320007 39.767860 58.174313 76.580765
"Honolulu-B,Hawaii" 155 21.370001 202.130005 40.859390 59.056725 77.254059
"Nawiliwili" 756 21.969999 200.649994 40.819706 59.275234 77.730766
"Kahului" 521 20.900000 203.529999 41.687565 59.900105 78.112648
"Hilo, Hawaii" 300 19.730000 204.929993 41.018795 59.815865 78.612938
"Mokuoloe" 823 21.430000 202.199997 40.859390 59.056725 77.254059
"Wellington" 221 -41.279999 174.779999 38.473083 53.964417 69.455757
"Tauranga" 1590 -37.650002 176.179993 38.710571 54.825169 70.939766
"Taranaki" 996 -39.049999 174.029999 38.251484 53.110378 67.969276
"Antofagasta" 510 -23.680000 289.549988 33.045109 46.516754 59.988396
"Valparaiso" 499 -33.119999 288.279999 30.105776 43.552841 56.999905
"Acajutla-A" 1302 13.580000 270.169983 37.735474 55.166538 72.597595
"Lobos de Afuera" 1552 -6.930000 279.279999 34.624550 52.031677 69.438805
"Buenaventura" 456 3.950000 282.830017 33.159874 49.499805 65.839729
"Quepos-A" 844 9.400000 275.830017 38.190231 52.618389 67.046547
"La Libertad" 544 -2.200000 279.080017 33.971115 51.223408 68.475700
"Callao-B" 1274 -12.080000 282.830017 33.164597 49.710049 66.255501
"Port Louis-C" 477 -20.200001 57.599998 41.004211 61.357868 81.711525
"Rodrigues" 1672 -19.680000 63.430000 41.337906 61.007915 80.677925
"Kelang" 1591 3.050000 101.430000 36.161720 50.702484 65.243240
"Keling" 1593 2.350000 102.180000 38.684292 56.385635 74.086983
"Langkawi" 1676 6.900000 99.800003 35.775936 54.204514 72.633087
"Lumut" 1594 4.300000 100.730003 36.161720 50.702484 65.243240
"Penang" 1595 5.470000 100.470001 36.161720 50.702484 65.243240
"Zanzibar" 1600 -6.200000 39.250000 41.891457 56.448112 71.004776
"Broome" 1159 -18.020000 122.230003 40.644371 57.934254 75.224136
"Darwin" 935 -12.520000 130.970001 40.175663 57.165318 74.154976
"Cocos" 983 -12.120000 96.970001 42.079765 61.220753 80.361740
"Fremantle" 111 -32.049999 115.730003 39.225975 57.502258 75.778542
"Esperance" 1114 -33.900002 122.019997 40.403721 57.932518 75.461319
"Port Elizabeth" 820 -34.049999 25.750000 42.546959 60.874737 79.202507
"Ceuta" 498 35.900002 354.679993 34.065880 43.946667 53.827454
"Vigo" 483 42.230000 351.269989 36.031479 52.510250 68.989021
"Cascais" 52 38.770000 350.579987 38.549446 51.175617 63.801788
"Funchal-B" 1030 32.730000 342.970001 39.998066 58.262287 76.526512
"Simon's Town" 826 -34.180000 18.430000 42.057617 59.232151 76.406685
"Fernandina Beach" 112 30.719999 278.529999 44.143833 64.570183 84.996536
"Key West,FL" 188 24.580000 278.119995 44.524879 62.560730 80.596581
"San Juan,PR" 1001 18.549999 293.880005 41.299736 58.019249 74.738762
"Magueyes Island,PR" 759 18.020000 292.830017 41.340839 57.964813 74.588791
"Portland,ME" 183 43.720001 289.630005 16.600859 49.836266 83.071671
"Newport,RI" 351 41.549999 288.580017 32.765705 63.465424 94.165138
"Limetree Bay" 1447 17.820000 295.220001 42.575687 58.628094 74.680504
"Charlotte Amalie" 1393 18.350000 295.049988 42.330994 58.788002 75.245010
"Bermuda-B" 368 32.430000 295.269989 34.222961 57.824604 81.426254
"Duck Pier,NC" 1636 36.180000 284.130005 50.233894 73.974144 97.714394
"Charleston,SC-B" 234 32.919998 280.000000 42.936905 66.280899 89.624878
"Atlantic City,NJ" 180 39.400002 285.570007 46.980698 73.340340 99.699982
"Cartagena" 572 10.380000 284.470001 40.594475 55.105061 69.615646
"Cristobal" 169 9.400000 279.950012 41.566807 56.069344 70.571884
"Churchill" 447 58.770000 265.820007 -184.942291 -97.085541 -9.228790
"Halifax" 96 44.669998 296.419983 35.263180 63.288445 91.313705
"St. John's-A" 393 47.570000 307.299988 41.697441 65.670059 89.642677
"Montauk,NY" 519 41.180000 287.950012 41.242241 67.915298 94.588348
"Ilha Fiscal,RJ" 1032 -23.020000 316.700012 35.991127 53.669590 71.348053
"Cananeia-A" 726 -25.020000 312.000000 35.217510 53.429443 71.641373
"Buenos Aires" 157 -34.669998 301.500000 30.408270 47.211231 64.014191
"Gibraltar-A" 490 36.130001 354.649994 33.948799 43.690498 53.432198
"Lerwick" 830 60.200001 358.799988 24.172174 44.965092 65.758011
"Newlyn, Cornwall" 202 50.119999 354.380005 36.916523 52.375923 67.835327
"Stornoway" 314 58.279999 353.570007 15.757421 38.968365 62.179314
"Balboa" 163 9.100000 280.369995 42.132484 56.877495 71.622505
"Tumaco" 639 1.820000 281.149994 35.553413 49.932404 64.311394
"Acapulco-A,Gro." 686 16.900000 259.980011 39.001637 54.848343 70.695045
"Ensenada" 795 31.850000 243.369995 39.753105 56.039833 72.326569
"Cendering" 1592 5.400000 103.220001 38.534172 56.127167 73.720154
"Johor Baharu" 248 1.570000 103.870003 40.099831 55.079479 70.059128
"Kuantan" 1589 4.050000 103.550003 37.367081 56.004189 74.641296
"Tioman" 1678 2.870000 104.199997 40.441193 55.445480 70.449768
"Sedili" 1702 2.070000 104.250000 40.441193 55.445480 70.449768
"Kukup" 1677 1.400000 103.529999 38.898506 53.974998 69.051491
"Geting" 1703 6.320000 102.169998 39.330990 54.143799 68.956604
"Ko Lak" 174 11.900000 99.820000 37.533276 52.234055 66.934830
"Hong Kong-B" 333 22.299999 114.220001 36.880344 54.082352 71.284363
"Brisbane" 822 -27.370001 153.169998 41.741051 58.594330 75.447609
"Bundaberg" 1154 -24.770000 152.500000 42.268307 59.151588 76.034874
"Fort Denison" 65 -33.900002 151.320007 41.083328 58.904457 76.725586
"Townsville" 637 -19.250000 146.830002 41.707432 56.946976 72.186516
"Spring Bay" 1216 -42.669998 148.070007 38.757092 58.359886 77.962677
"Kaohsiung" 1356 22.750000 120.330002 39.181274 56.527458 73.873642
"Keelung" 545 25.200001 121.769997 35.378212 54.768681 74.159149
"Nakano Shima" 1105 29.920000 129.919998 38.380402 58.492584 78.604767
"Abashiri" 1104 44.020000 144.279999 33.722450 49.176704 64.630959
"Hamada" 94 34.900002 132.070007 35.682392 51.030411 66.378426
"Toyama" 1389 36.770000 137.229996 35.989624 50.997673 66.005722
"Kushiro" 518 42.970001 144.369995 33.529427 49.154739 64.780060
"Ofunato" 1364 39.020000 141.750000 35.188488 49.787636 64.386787
